Month,Risk,Facility Type,total_inspections,failed_inspections,Treemap Failure Rate
2010Q1,Risk 2 (Medium),SLAUGHTER HOUSE/ GROCERY,1,0,0.0
2010Q1,Risk 2 (Medium),School,8,1,12.5
2010Q1,Risk 2 (Medium),Shelter,1,0,0.0
2010Q1,Risk 2 (Medium),Wholesale,14,3,21.43
2010Q1,Risk 2 (Medium),candy/gelato,2,0,0.0
2010Q1,Risk 2 (Medium),coffee shop,1,0,0.0
2010Q1,Risk 2 (Medium),donut shop,2,1,50.0
2010Q1,Risk 3 (Low),Bakery,3,2,66.67
2010Q1,Risk 3 (Low),CANDY MAKER,2,1,50.0
2010Q1,Risk 3 (Low),COMMISSARY,1,0,0.0
2010Q1,Risk 3 (Low),Candy,3,2,66.67
2010Q1,Risk 3 (Low),GAS STATION,2,0,0.0
2010Q1,Risk 3 (Low),GAS STATION/ GROCERY STORE,1,0,0.0
2010Q1,Risk 3 (Low),Grocery Store,250,94,37.6
2010Q1,Risk 3 (Low),KIOSK,2,0,0.0
2010Q1,Risk 3 (Low),Liquor,36,14,38.89
2010Q1,Risk 3 (Low),MOBILE FOOD,3,1,33.33
2010Q1,Risk 3 (Low),Mobile Food Dispenser,59,14,23.73
2010Q1,Risk 3 (Low),NIGHT CLUB,1,0,0.0
2010Q1,Risk 3 (Low),Restaurant,29,12,41.38
2010Q1,Risk 3 (Low),School,5,1,20.0
2010Q1,Risk 3 (Low),Special Event,2,1,50.0
2010Q1,Risk 3 (Low),TAVERN,9,5,55.56
2010Q1,Risk 3 (Low),TAVERN/LIQUOR,1,0,0.0
2010Q1,Risk 3 (Low),Wholesale,30,17,56.67
2010Q1,Risk 3 (Low),convenience,1,0,0.0
2010Q1,Risk 3 (Low),convenience/drug store,1,0,0.0
2010Q1,Risk 3 (Low),hooka lounge,2,2,100.0
2010Q1,Risk 3 (Low),religious,1,1,100.0
2010Q1,Risk 3 (Low),theater,1,0,0.0
2010Q2,Risk 1 (High),1023 CHILDERN'S SERVICE S FACILITY,2,1,50.0
2010Q2,Risk 1 (High),1023 CHILDERN'S SERVICES FACILITY,2,0,0.0
2010Q2,Risk 1 (High),1023-CHILDREN'S SERVICES FACILITY,3,0,0.0
2010Q2,Risk 1 (High),BANQUET HALL,1,1,100.0
2010Q2,Risk 1 (High),Bakery,32,12,37.5
2010Q2,Risk 1 (High),CHURCH KITCHEN,2,1,50.0
2010Q2,Risk 1 (High),CHURCH/SPECIAL EVENTS,1,0,0.0
2010Q2,Risk 1 (High),CITY OF CHICAGO COLLEGE,1,0,0.0
2010Q2,Risk 1 (High),Catering,18,6,33.33
2010Q2,Risk 1 (High),Catering and Wholesale,1,0,0.0
2010Q2,Risk 1 (High),Children's Services Facility,60,10,16.67
2010Q2,Risk 1 (High),Church,1,0,0.0
2010Q2,Risk 1 (High),Commissary,1,0,0.0
2010Q2,Risk 1 (High),Daycare (2 - 6 Years),125,46,36.8
2010Q2,Risk 1 (High),Daycare (Under 2 Years),14,6,42.86
2010Q2,Risk 1 (High),Daycare Above and Under 2 Years,93,36,38.71
2010Q2,Risk 1 (High),Daycare Combo 1586,22,8,36.36
2010Q2,Risk 1 (High),Daycare Night,2,1,50.0
2010Q2,Risk 1 (High),GAS STATION /SUBWAY MINI MART.,1,0,0.0
2010Q2,Risk 1 (High),GROCERY STORE/BAKERY,2,1,50.0
2010Q2,Risk 1 (High),GROCERY STORE/TAQUERIA,1,0,0.0
2010Q2,Risk 1 (High),GROCERY/RESTAURANT,2,1,50.0
2010Q2,Risk 1 (High),Golden Diner,6,1,16.67
2010Q2,Risk 1 (High),Grocery Store,153,26,16.99
2010Q2,Risk 1 (High),Grocery(Sushi prep),1,0,0.0
2010Q2,Risk 1 (High),Hospital,9,2,22.22
2010Q2,Risk 1 (High),ICE CREAM SHOP,3,1,33.33
2010Q2,Risk 1 (High),Liquor,3,2,66.67
2010Q2,Risk 1 (High),Long Term Care,14,3,21.43
2010Q2,Risk 1 (High),Mobile Food Dispenser,1,0,0.0
2010Q2,Risk 1 (High),NON -PROFIT,1,0,0.0
2010Q2,Risk 1 (High),NURSING HOME,1,0,0.0
2010Q2,Risk 1 (High),PRIVATE SCHOOL,1,0,0.0
2010Q2,Risk 1 (High),PUBLIC SHCOOL,1,0,0.0
2010Q2,Risk 1 (High),REST/ROOFTOP,1,0,0.0
2010Q2,Risk 1 (High),RESTUARANT AND BAR,1,0,0.0
2010Q2,Risk 1 (High),Restaurant,1969,465,23.62
2010Q2,Risk 1 (High),SOUP KITCHEN,2,1,50.0
2010Q2,Risk 1 (High),SUMMER FEEDING,1,0,0.0
2010Q2,Risk 1 (High),School,537,66,12.29
2010Q2,Risk 1 (High),Shelter,8,1,12.5
2010Q2,Risk 1 (High),Special Event,9,4,44.44
2010Q2,Risk 1 (High),UNLICENSED FACILITY,1,1,100.0
2010Q2,Risk 1 (High),Wholesale,8,2,25.0
2010Q2,Risk 1 (High),bakery/restaurant,1,0,0.0
2010Q2,Risk 1 (High),banquet hall,1,0,0.0
2010Q2,Risk 2 (Medium),Bakery,29,8,27.59
2010Q2,Risk 2 (Medium),CHURCH,1,0,0.0
2010Q2,Risk 2 (Medium),CHURCH KITCHEN,1,0,0.0
2010Q2,Risk 2 (Medium),COMMISSARY FOR SOFT SERVE ICE CREAM TRUCKS,2,2,100.0
2010Q2,Risk 2 (Medium),Catering,1,0,0.0
2010Q2,Risk 2 (Medium),Church,1,0,0.0
2010Q2,Risk 2 (Medium),Daycare (2 - 6 Years),2,1,50.0
2010Q2,Risk 2 (Medium),Daycare Combo 1586,1,0,0.0
2010Q2,Risk 2 (Medium),GAS STATION/RESTAURANT,2,1,50.0
2010Q2,Risk 2 (Medium),GROCERY AND BUTCHER,2,2,100.0
2010Q2,Risk 2 (Medium),Grocery Store,187,64,34.22
2010Q2,Risk 2 (Medium),HOT DOG STATION,1,0,0.0
2010Q2,Risk 2 (Medium),ICE CREAM PARLOR,3,2,66.67
2010Q2,Risk 2 (Medium),ICE CREAM SHOP,1,0,0.0
2010Q2,Risk 2 (Medium),JUICE BAR,1,0,0.0
2010Q2,Risk 2 (Medium),KIOSK,7,0,0.0
2010Q2,Risk 2 (Medium),LIVE POULTRY,1,0,0.0
2010Q2,Risk 2 (Medium),MEXICAN CANDY STORE,1,1,100.0
2010Q2,Risk 2 (Medium),MOVIE THEATER,1,1,100.0
2010Q2,Risk 2 (Medium),Navy Pier Kiosk,9,2,22.22
2010Q2,Risk 2 (Medium),RIVERWALK CAFE,2,1,50.0
2010Q2,Risk 2 (Medium),Restaurant,669,143,21.38
2010Q2,Risk 2 (Medium),School,27,1,3.7
2010Q2,Risk 2 (Medium),Special Event,6,1,16.67
2010Q2,Risk 2 (Medium),Wholesale,14,6,42.86
2010Q2,Risk 2 (Medium),Wrigley Roof Top,1,0,0.0
2010Q2,Risk 2 (Medium),grocery/butcher,3,0,0.0
2010Q2,Risk 2 (Medium),live butcher,1,0,0.0
2010Q2,Risk 3 (Low),Bakery,1,0,0.0
2010Q2,Risk 3 (Low),COFFEE VENDING MACHINE,2,2,100.0
2010Q2,Risk 3 (Low),COLD/FROZEN FOOD STORAGE,1,0,0.0
2010Q2,Risk 3 (Low),Children's Services Facility,1,0,0.0
2010Q2,Risk 3 (Low),Church,2,0,0.0
2010Q2,Risk 3 (Low),GAS STATION/MINI MART,3,0,0.0
2010Q2,Risk 3 (Low),Grocery Store,292,114,39.04
2010Q2,Risk 3 (Low),HOTEL,3,2,66.67
2010Q2,Risk 3 (Low),KIOSK,1,0,0.0
2010Q2,Risk 3 (Low),LINITED BUSINESS,2,1,50.0
2010Q2,Risk 3 (Low),Liquor,14,6,42.86
2010Q2,Risk 3 (Low),Mobile Food Dispenser,61,21,34.43
2010Q2,Risk 3 (Low),Navy Pier Kiosk,4,2,50.0
2010Q2,Risk 3 (Low),PRODUCE STAND,2,1,50.0
2010Q2,Risk 3 (Low),PRODUCE VENDOR,1,1,100.0
2010Q2,Risk 3 (Low),Restaurant,51,24,47.06
2010Q2,Risk 3 (Low),School,10,1,10.0
2010Q2,Risk 3 (Low),Special Event,2,1,50.0
2010Q2,Risk 3 (Low),TAVERN,7,5,71.43
2010Q2,Risk 3 (Low),Wholesale,24,8,33.33
2010Q2,Risk 3 (Low),hooka lounge,1,1,100.0
2010Q2,Risk 3 (Low),tavern/restaurant,2,1,50.0
2010Q3,Risk 1 (High),A-Not-For-Profit Chef Training Program,1,0,0.0
2010Q3,Risk 1 (High),AFTER SCHOOL CARE,1,0,0.0
2010Q3,Risk 1 (High),Assisted Living Senior Care,1,0,0.0
2010Q3,Risk 1 (High),BANQUET,6,3,50.0
2010Q3,Risk 1 (High),BANQUET HALL,7,3,42.86
2010Q3,Risk 1 (High),Bakery,23,4,17.39
2010Q3,Risk 1 (High),Banquet Dining,1,0,0.0
2010Q3,Risk 1 (High),CAFETERIA,2,2,100.0
2010Q3,Risk 1 (High),Cafeteria,1,0,0.0
2010Q3,Risk 1 (High),Catering,31,12,38.71
2010Q3,Risk 1 (High),Children's Services Facility,43,4,9.3
2010Q3,Risk 1 (High),DAYCARE,4,2,50.0
2010Q3,Risk 1 (High),"DAYCARE 2-6, UNDER 6",2,0,0.0
2010Q3,Risk 1 (High),Daycare (2 - 6 Years),122,29,23.77
2010Q3,Risk 1 (High),Daycare (Under 2 Years),13,3,23.08
2010Q3,Risk 1 (High),Daycare Above and Under 2 Years,83,13,15.66
2010Q3,Risk 1 (High),Daycare Combo 1586,27,8,29.63
2010Q3,Risk 1 (High),GROCERY/TAQUERIA,1,0,0.0
2010Q3,Risk 1 (High),Golden Diner,17,3,17.65
2010Q3,Risk 1 (High),Grocery Store,184,41,22.28
2010Q3,Risk 1 (High),Grocery(Sushi prep),3,1,33.33
2010Q3,Risk 1 (High),Hospital,16,1,6.25
2010Q3,Risk 1 (High),KIDS CAFE,1,1,100.0
2010Q3,Risk 1 (High),Long Term Care,9,1,11.11
2010Q3,Risk 1 (High),Long Term Care Facility,2,1,50.0
2010Q3,Risk 1 (High),MAIN KITCHEN,1,1,100.0
2010Q3,Risk 1 (High),PHARMACY,1,0,0.0
2010Q3,Risk 1 (High),Pool,2,1,50.0
2010Q3,Risk 1 (High),RESTAURANT/BAR,2,1,50.0
2010Q3,Risk 1 (High),RESTAURANT/GROCERY,1,0,0.0
2010Q3,Risk 1 (High),RESTAURANT/HOSPITAL,1,0,0.0
2010Q3,Risk 1 (High),RIVERWALK,4,3,75.0
2010Q3,Risk 1 (High),Restaurant,2272,573,25.22
2010Q3,Risk 1 (High),School,94,20,21.28
2010Q3,Risk 1 (High),Shared Kitchen,1,0,0.0
2010Q3,Risk 1 (High),Shelter,3,1,33.33
2010Q3,Risk 1 (High),Special Event,4,1,25.0
2010Q3,Risk 1 (High),Wholesale,7,3,42.86
2010Q3,Risk 1 (High),banquets,1,0,0.0
2010Q3,Risk 1 (High),cafeteria,1,0,0.0
2010Q3,Risk 1 (High),employee kitchen,1,0,0.0
2010Q3,Risk 1 (High),grocery & restaurant,2,1,50.0
2010Q3,Risk 2 (Medium),Bakery,50,10,20.0
2010Q3,Risk 2 (Medium),COMMISSARY FOR SOFT SERVE ICE CREAM TRUCKS,2,1,50.0
2010Q3,Risk 2 (Medium),GAS STATION/RESTAURANT,1,0,0.0
2010Q3,Risk 2 (Medium),GROCERY AND BUTCHER,2,1,50.0
2010Q3,Risk 2 (Medium),GROCERY/LIQUOR,1,0,0.0
2010Q3,Risk 2 (Medium),Grocery Store,243,61,25.1
2010Q3,Risk 2 (Medium),Ice cream,1,1,100.0
2010Q3,Risk 2 (Medium),LIVE POULTRY,1,0,0.0
2010Q3,Risk 2 (Medium),Live Poultry,2,1,50.0
2010Q3,Risk 2 (Medium),MEXICAN CANDY STORE,2,1,50.0
2010Q3,Risk 2 (Medium),MOVIE THEATER,1,0,0.0
2010Q3,Risk 2 (Medium),PALETERIA /ICECREAM SHOP,1,0,0.0
2010Q3,Risk 2 (Medium),PANTRY,4,1,25.0
2010Q3,Risk 2 (Medium),RIVERWALK CAFE,1,0,0.0
2010Q3,Risk 2 (Medium),Restaurant,720,153,21.25
2010Q3,Risk 2 (Medium),Restaurant(protein shake bar),2,1,50.0
2010Q3,Risk 2 (Medium),School,9,3,33.33
2010Q3,Risk 2 (Medium),Special Event,1,0,0.0
2010Q3,Risk 2 (Medium),Wholesale,6,2,33.33
2010Q3,Risk 2 (Medium),coffee shop,1,1,100.0
2010Q3,Risk 2 (Medium),convenience store,1,0,0.0
2010Q3,Risk 2 (Medium),fish market,2,0,0.0
2010Q3,Risk 2 (Medium),grocery/butcher,2,1,50.0
2010Q3,Risk 2 (Medium),live butcher,1,0,0.0
2010Q3,Risk 3 (Low),(gas station),2,1,50.0
2010Q3,Risk 3 (Low),Bakery,1,0,0.0
2010Q3,Risk 3 (Low),COFFEE VENDING MACHINE,2,2,100.0
2010Q3,Risk 3 (Low),COMMIASARY,1,0,0.0
2010Q3,Risk 3 (Low),DRUG STORE/W/ FOOD,1,0,0.0
2010Q3,Risk 3 (Low),Daycare (2 - 6 Years),1,0,0.0
2010Q3,Risk 3 (Low),FITNESS CENTER,1,0,0.0
2010Q3,Risk 3 (Low),GAS STATION,3,1,33.33
2010Q3,Risk 3 (Low),GAS STATION /GROCERY,2,1,50.0
2010Q3,Risk 3 (Low),GENERAL STORE,2,1,50.0
2010Q3,Risk 3 (Low),Grocery Store,315,120,38.1
2010Q3,Risk 3 (Low),HOOKA BAR,1,0,0.0
2010Q3,Risk 3 (Low),Liquor,37,18,48.65
2010Q3,Risk 3 (Low),Mobile Food Dispenser,18,8,44.44
2010Q3,Risk 3 (Low),Navy Pier Kiosk,1,0,0.0
2010Q3,Risk 3 (Low),PREPACKAGE MEAL DISTRIBUTOR (1006 Retail),1,0,0.0
2010Q3,Risk 3 (Low),ROOFTOP PATIO,1,1,100.0
2010Q3,Risk 3 (Low),ROOM SERVICE,3,0,0.0
2010Q3,Risk 3 (Low),Restaurant,54,18,33.33
2010Q3,Risk 3 (Low),STORE,1,1,100.0
2010Q3,Risk 3 (Low),School,5,2,40.0
2010Q3,Risk 3 (Low),TAVERN,11,5,45.45
2010Q3,Risk 3 (Low),Wholesale,17,6,35.29
2010Q3,Risk 3 (Low),bar,2,1,50.0
2010Q3,Risk 3 (Low),tavern,1,1,100.0
2010Q3,Risk 3 (Low),watermelon house,2,1,50.0
2010Q4,Risk 1 (High),1023,3,0,0.0
2010Q4,Risk 1 (High),1584-DAY CARE ABOVE 2 YEARS,1,0,0.0
2010Q4,Risk 1 (High),Assisted Living,1,0,0.0
2010Q4,Risk 1 (High),BANQUET HALL,3,2,66.67
2010Q4,Risk 1 (High),Bakery,13,5,38.46
2010Q4,Risk 1 (High),Banquet rooms,2,0,0.0
2010Q4,Risk 1 (High),CAFETERIA,2,0,0.0
2010Q4,Risk 1 (High),CATERING/CAFE,2,1,50.0
2010Q4,Risk 1 (High),CHARITY AID KITCHEN,1,0,0.0
2010Q4,Risk 1 (High),CULINARY SCHOOL,1,0,0.0
2010Q4,Risk 1 (High),Catering,33,7,21.21
2010Q4,Risk 1 (High),Children's Services Facility,66,9,13.64
2010Q4,Risk 1 (High),DAYCARE,4,0,0.0
2010Q4,Risk 1 (High),DAYCARE 1586,1,0,0.0
2010Q4,Risk 1 (High),Daycare (2 - 6 Years),117,29,24.79
2010Q4,Risk 1 (High),Daycare (2 Years),1,0,0.0
2010Q4,Risk 1 (High),Daycare (Under 2 Years),11,2,18.18
2010Q4,Risk 1 (High),Daycare Above and Under 2 Years,34,2,5.88
2010Q4,Risk 1 (High),Daycare Combo 1586,26,6,23.08
2010Q4,Risk 1 (High),GROCERY STORE/COOKING SCHOOL,1,0,0.0
2010Q4,Risk 1 (High),GROCERY/RESTAURANT,3,1,33.33
2010Q4,Risk 1 (High),Golden Diner,14,4,28.57
2010Q4,Risk 1 (High),Grocery & Restaurant,1,0,0.0
2010Q4,Risk 1 (High),Grocery Store,136,27,19.85
2010Q4,Risk 1 (High),Hospital,9,0,0.0
2010Q4,Risk 1 (High),Long Term Care,18,3,16.67
2010Q4,Risk 1 (High),Mobile Food Dispenser,2,0,0.0
2010Q4,Risk 1 (High),PASTRY school,1,1,100.0
2010Q4,Risk 1 (High),PRIVATE SCHOOL,1,0,0.0
2010Q4,Risk 1 (High),Pool,1,0,0.0
2010Q4,Risk 1 (High),Private School,1,0,0.0
2010Q4,Risk 1 (High),RESTAURANT/GROCERY STORE,2,0,0.0
2010Q4,Risk 1 (High),Restaurant,1907,472,24.75
2010Q4,Risk 1 (High),School,304,58,19.08
2010Q4,Risk 1 (High),Shelter,5,0,0.0
2010Q4,Risk 1 (High),Wholesale,9,5,55.56
2010Q4,Risk 1 (High),banquets/room service,1,0,0.0
2010Q4,Risk 1 (High),employee kitchen,1,0,0.0
2010Q4,Risk 2 (Medium),BAR/GRILL,2,1,50.0
2010Q4,Risk 2 (Medium),Bakery,31,9,29.03
2010Q4,Risk 2 (Medium),COMMISSARY FOR SOFT SERVE ICE CREAM TRUCKS,2,1,50.0
2010Q4,Risk 2 (Medium),Daycare (2 - 6 Years),1,1,100.0
2010Q4,Risk 2 (Medium),GROCERY & RESTAURANT,1,0,0.0
2010Q4,Risk 2 (Medium),Grocery Store,213,65,30.52
2010Q4,Risk 2 (Medium),HEALTH CENTER,1,0,0.0
2010Q4,Risk 2 (Medium),Ice cream,1,0,0.0
2010Q4,Risk 2 (Medium),Mobile Food Dispenser,9,4,44.44
2010Q4,Risk 2 (Medium),Restaurant,603,118,19.57
2010Q4,Risk 2 (Medium),School,13,0,0.0
2010Q4,Risk 2 (Medium),TAVERN,2,1,50.0
2010Q4,Risk 2 (Medium),TEACHING SCHOOL,1,0,0.0
2010Q4,Risk 2 (Medium),Tavern,2,1,50.0
2010Q4,Risk 2 (Medium),WRIGLEY ROOFTOP,2,1,50.0
2010Q4,Risk 2 (Medium),Wholesale,16,5,31.25
2010Q4,Risk 2 (Medium),butcher shop,1,0,0.0
2010Q4,Risk 2 (Medium),coffee,2,1,50.0
2010Q4,Risk 2 (Medium),coffee shop,2,0,0.0
2010Q4,Risk 2 (Medium),grocery/butcher,1,0,0.0
2010Q4,Risk 2 (Medium),meat packing,1,0,0.0
2010Q4,Risk 2 (Medium),snack shop,1,0,0.0
2010Q4,Risk 3 (Low),(convenience store),1,0,0.0
2010Q4,Risk 3 (Low),Bakery,1,0,0.0
2010Q4,Risk 3 (Low),CANDY STORE,2,1,50.0
2010Q4,Risk 3 (Low),CONVENIENCE STORE,1,0,0.0
2010Q4,Risk 3 (Low),CONVNIENCE STORE,1,0,0.0
2010Q4,Risk 3 (Low),Convenience Store,1,0,0.0
2010Q4,Risk 3 (Low),Daycare (2 - 6 Years),1,0,0.0
2010Q4,Risk 3 (Low),Dollar store,1,0,0.0
2010Q4,Risk 3 (Low),GAS STATION,5,4,80.0
2010Q4,Risk 3 (Low),GAS STATION/STORE,3,2,66.67
2010Q4,Risk 3 (Low),Grocery Store,316,103,32.59
2010Q4,Risk 3 (Low),Liquor,41,20,48.78
2010Q4,Risk 3 (Low),MOBILE FOOD TRUCK,3,2,66.67
2010Q4,Risk 3 (Low),Mobile Food Dispenser,8,2,25.0
2010Q4,Risk 3 (Low),Nutrition Store,1,0,0.0
2010Q4,Risk 3 (Low),PEDDLER,1,0,0.0
2010Q4,Risk 3 (Low),Restaurant,57,17,29.82
2010Q4,Risk 3 (Low),School,5,1,20.0
2010Q4,Risk 3 (Low),Social Club,1,1,100.0
2010Q4,Risk 3 (Low),TAVERN,17,8,47.06
2010Q4,Risk 3 (Low),Wholesale,11,4,36.36
2010Q4,Risk 3 (Low),convenience,3,0,0.0
2010Q4,Risk 3 (Low),convenience store,6,3,50.0
2010Q4,Risk 3 (Low),gas station,1,0,0.0
2010Q4,Risk 3 (Low),newsstand,2,2,100.0
2010Q4,Risk 3 (Low),tavern,2,1,50.0
2010Q4,Risk 3 (Low),weight loss program,1,0,0.0
2011Q1,Risk 1 (High),1005 NURSING HOME,1,1,100.0
2011Q1,Risk 1 (High),AFTER SCHOOL PROGRAM,1,0,0.0
2011Q1,Risk 1 (High),Assisted Living,1,0,0.0
2011Q1,Risk 1 (High),BAKERY/DELI,1,0,0.0
2011Q1,Risk 1 (High),BANQUET HALL,4,2,50.0
2011Q1,Risk 1 (High),Bakery,26,5,19.23
2011Q1,Risk 1 (High),Banquet Hall,1,0,0.0
2011Q1,Risk 1 (High),CAFETERIA,2,0,0.0
2011Q1,Risk 1 (High),CHURCH/AFTER SCHOOL PROGRAM,1,1,100.0
2011Q1,Risk 1 (High),CITY OF CHICAGO COLLEGE,2,1,50.0
2011Q1,Risk 1 (High),Cafeteria,1,0,0.0
2011Q1,Risk 1 (High),Catering,18,2,11.11
2011Q1,Risk 1 (High),Children's Services Facility,54,12,22.22
2011Q1,Risk 1 (High),DAYCARE,4,0,0.0
2011Q1,Risk 1 (High),Daycare (2 - 6 Years),71,15,21.13
2011Q1,Risk 1 (High),Daycare (Under 2 Years),5,1,20.0
2011Q1,Risk 1 (High),Daycare Above and Under 2 Years,46,10,21.74
2011Q1,Risk 1 (High),Daycare Combo 1586,20,9,45.0
2011Q1,Risk 1 (High),GROCERY STORE/BAKERY,1,1,100.0
2011Q1,Risk 1 (High),GROCERY STORE/TAQUERIA,2,1,50.0
2011Q1,Risk 1 (High),GROCERY/RESTAURANT,1,0,0.0
2011Q1,Risk 1 (High),Golden Diner,13,3,23.08
2011Q1,Risk 1 (High),Grocery Store,179,34,18.99
2011Q1,Risk 1 (High),Hospital,3,0,0.0
2011Q1,Risk 1 (High),LONG TERM CARE FACILITY,1,0,0.0
2011Q1,Risk 1 (High),Long Term Care,26,8,30.77
2011Q1,Risk 1 (High),Long-Term Care,1,0,0.0
2011Q1,Risk 1 (High),NURSING HOME,2,0,0.0
2011Q1,Risk 1 (High),PUBLIC SHCOOL,1,0,0.0
2011Q1,Risk 1 (High),REST/GROCERY,1,0,0.0
2011Q1,Risk 1 (High),REST/ROOFTOP,1,0,0.0
2011Q1,Risk 1 (High),RESTAURANT/BAKERY,2,0,0.0
2011Q1,Risk 1 (High),Restaurant,2206,411,18.63
2011Q1,Risk 1 (High),SENIOR DAY CARE,1,0,0.0
2011Q1,Risk 1 (High),SUPPORTIVE LIVING,1,0,0.0
2011Q1,Risk 1 (High),School,350,51,14.57
2011Q1,Risk 1 (High),Shared Kitchen,1,0,0.0
2011Q1,Risk 1 (High),Shelter,3,0,0.0
2011Q1,Risk 1 (High),Special Event,2,1,50.0
2011Q1,Risk 1 (High),Wholesale,5,2,40.0
2011Q1,Risk 1 (High),bakery/restaurant,1,0,0.0
2011Q1,Risk 2 (Medium),BAKERY/ RESTAURANT,1,0,0.0
2011Q1,Risk 2 (Medium),BEFORE AND AFTER SCHOOL PROGRAM,2,1,50.0
2011Q1,Risk 2 (Medium),Bakery,39,10,25.64
2011Q1,Risk 2 (Medium),CAFETERIA,1,0,0.0
2011Q1,Risk 2 (Medium),CHURCH KITCHEN,3,1,33.33
2011Q1,Risk 2 (Medium),COFFEE KIOSK,1,0,0.0
2011Q1,Risk 2 (Medium),COMMISSARY,3,1,33.33
2011Q1,Risk 2 (Medium),Catering,2,1,50.0
2011Q1,Risk 2 (Medium),Daycare Above and Under 2 Years,1,0,0.0
2011Q1,Risk 2 (Medium),GROCERY/ RESTAURANT,1,0,0.0
2011Q1,Risk 2 (Medium),Grocery Store,193,68,35.23
2011Q1,Risk 2 (Medium),KIOSK,45,18,40.0
2011Q1,Risk 2 (Medium),LIVE POULTRY,1,0,0.0
2011Q1,Risk 2 (Medium),MOVIE THEATER,1,0,0.0
2011Q1,Risk 2 (Medium),Mobile Food Dispenser,8,4,50.0
2011Q1,Risk 2 (Medium),PALETERIA,2,1,50.0
2011Q1,Risk 2 (Medium),PALETERIA /ICECREAM SHOP,2,0,0.0
